,Question Index,Questions,Options,Question Source,Answers,Answer Source
0,2000A Q1,"Which of the following pairs of radionuclides are of concern because they are metabolic analogs of calcium, deposited in bone, and may cause skeletal neoplasia?","{'A': '222 Rn and 137 Cs', 'B': '222 Rn and 90 Sr', 'C': '226 Ra and 90 Sr', 'D': '137 Cs and 90 Sr', 'E': '238 U and 238 Pu'}",ABT2000#17.pdf,['C'],"ABT #17.pdf, Document.pdf"
1,2000A Q2,"A semi-conscious pesticide sprayer is brought into the emergency room from a nearby orchard with acute carbaryl poisoning that occurred within the last 45 minutes. He is starting to have trouble breathing. In addition to putting him on a mechanical respirator and cleansing his skin of any remaining pesticide residues, which of the following treatments is indicated?","{'A': 'propanolol followed by an intravenous anti-inflammatory steroid as needed', 'B': '2-PAM (pralidoximine) followed by atropine as needed', 'C': 'atropine as needed', 'followed by 2-PAM': '', 'D': 'atropine only', 'repeated as needed': '', 'E': 'supportive therapy only', 'possibly with theophylline to keep the airways open': ''}",ABT2000#17.pdf,['D'],"ABT #17.pdf, Document.pdf"
2,2000A Q3,Botulinum toxin inhibits neuromuscular communication by,"{'A': 'blocking sodium channels along the motor nerve', 'B': 'inhibiting acetylcholine release from the axon terminal', 'C': 'inhibiting the reuptake of choline resulting in acetylcholine depletion', 'D': 'competitively blocking postsynaptic acetylcholine receptors', 'E': 'evoking unstimulated acetylcholine release'}",ABT2000#17.pdf,['B'],"ABT #17.pdf, Document.pdf"
3,2000A Q4,"Some elements can be methylated by metabolic pathways in vertebrate species, or by microbes in water, sediment or soils. Important products of biomethylation include","{'A': 'trimethyl tin', 'tetraethyl lead': '', 'methyl mercury': '', 'B': 'methyl mercury', 'dimethyl arsine': '', 'dimethyl selenide': '', 'C': 'tetramethyl tin', 'D': 'only methyl mercury', 'E': 'methyl mercury', 'dimethyl cadmium': ''}",ABT2000#17.pdf,"['B', 'C']","ABT #17.pdf, Document.pdf"
4,2000A Q5,Contact urticaria is characteristic of,"{'A': 'mistletoe', 'B': 'crocus', 'C': 'pokeweed', 'D': 'nettles', 'E': 'poison ivy'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['D'],"ABT #17.pdf, Document.pdf"
5,2000A Q6,The dominant route of excretion for absorbed lead in adult humans is,"{'A': 'bile', 'B': 'feces', 'C': 'urine', 'D': 'epithelial tissue', 'E': 'respiratory tract'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['C'],"ABT #17.pdf, Document.pdf"
6,2000A Q7,Bagassosis is a term for allergic pulmonary responses occurring as a result of occupational inhalation exposure to,"{'A': 'cotton dust', 'B': 'coal dust', 'C': 'beryllium', 'D': 'hay spores', 'E': 'sugar cane dust'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['E'],"ABT #17.pdf, Document.pdf"
7,2000A Q8,"During tidal breathing, inhalation of a monodispersed particle about 1 um in diameter undergoes primary deposition in the","{'A': 'bronchus', 'B': 'trachea', 'C': 'nasopharyngeal region', 'D': 'alveolus', 'E': 'pleura'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['D'],"ABT #17.pdf, Document.pdf"
8,2000A Q9,Which of the following is NOT characteristic of a tricyclic antidepressant overdose?,"{'A': 'disorientation', 'ataxia': '', 'depression': '', 'B': 'dilated pupils', 'hyperpyrexia and dry mouth': '', 'C': 'decreased PR interval and decreased QRS interval on ECG', 'D': 'cardiac arrhythmia with ventricular tachycardia', 'E': 'urinary retention and decreased gastrointestinal motility'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['C'],"ABT #17.pdf, Document.pdf"
9,2000A Q10,Ingestion of which of the following radioactive materials would be most damaging to the bone marrow?,"{'A': 'beta emitters', 'B': 'alpha emitters', 'C': 'gamma emitters', 'D': 'those with highest energy regardless of type of emission', 'E': 'elements of medium Z number since their radiations have the most favorable charge to mass ratio'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","['B', 'C', 'D']","ABT #17.pdf, Document.pdf"
10,2000A Q11,Which of the following chemicals is NOT an antioxidant?,"{'A': 'vitamin E', 'B': 'ethoxyquin', 'C': 'riboflavin', 'D': 'butylated hydroxytoluene', 'E': 'propyl gallate'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['C'],"ABT #17.pdf, Document.pdf"
11,2000A Q12,Intranuclear inclusions in the renal tubular epithelial cells is characteristic of,"{'A': 'cobalt', 'B': 'mercury', 'C': 'antimony', 'D': 'lead', 'E': 'cadmium'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['D'],"ABT #17.pdf, Document.pdf"
12,2000A Q13,"In some species, accumulation of neurofibrillary tangles in the brain is associated with exposure to","{'A': 'lead', 'B': 'manganese', 'C': 'methyl mercury', 'D': 'aluminum', 'E': 'triethyltin'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['D'],"ABT #17.pdf, Document.pdf"
13,2000A Q14,"In the treatment of cyanide (CN) poisoning, nitrite acts by","{'A': 'displacing CN from cytochrome oxidase', 'B': 'oxidizing the iron in cytochome oxidase from Fe 2+ to Fe 3+', 'C': 'oxidizing CN to thiocyanate', 'D': 'oxidizing the iron in hemoglobin from Fe2+ to Fe', 'E': 'displacing the CN from cytochome P450'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['D'],"ABT #17.pdf, Document.pdf"
14,2000A Q15,Which of the following classes of antibiotics is most commonly associated with ototoxicity and nephrotoxicity?,"{'A': 'penicillins', 'B': 'fluoroquinolines', 'C': 'aminoglycosides', 'D': 'tetracyclines', 'E': 'macrolides'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['C'],"ABT #17.pdf, Document.pdf"
15,2000A Q16,Elevated carboxyhemoglobin level occurs following exposure to,"{'A': 'bis(chloromethyl)ether', 'B': 'methylene chloride', 'C': 'methyl ethyl ketone', 'D': 'methylene blue', 'E': 'methyl chloride'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['B'],"ABT #17.pdf, Document.pdf"
16,2000A Q17,Chronic absorption of which of the following results in hyperostosis?,"{'A': 'cyanide', 'B': 'sulfide', 'C': 'fluoride', 'D': 'borate', 'E': 'oxalate'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['C'],"ABT #17.pdf, Document.pdf"
17,2000A Q18,The treatment of poisoning by organophosphates can be very difficult. One reason for this is the difficulty of reactivating the enzyme acetylcholinesterase because the organophosphates attach to the enzyme through,"{'A': ""Van der Waals' bonds"", 'B': 'ionic bonds', 'C': 'hydrogen bonds', 'D': 'covalent bonds', 'E': 'reinforced ionic bonds'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['D'],"ABT #17.pdf, Document.pdf"
18,2000A Q19,The toxic glycoprotein in castor beans is,"{'A': 'strychnine', 'B': 'alizarin', 'C': 'brucine', 'D': 'muscarine', 'E': 'ricin'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['E'],"ABT #17.pdf, Document.pdf"
19,2000A Q20,Which of the following is a nonintentional food additive?,"{'A': 'monosodium glutamate', 'B': 'diethyl phthalate', 'C': 'sodium benzoate', 'D': 'propylene glycol', 'E': 'sorbic acid'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['B'],"ABT #17.pdf, Document.pdf"
20,2000A Q21,Loxoscelism can result from,"{'A': 'eating improperly prepared salmon', 'B': 'a spider bite', 'C': 'eating cinchona bark', 'D': 'any teratogenic insult with concomitant torticollis', 'E': 'eating mushrooms'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf",['B'],"ABT #17.pdf, Document.pdf"
